instance,makespan,FA,OS
ta01,963,"[0,2,0,1,2,1,2,3,0,2,1,3,3,2,3]","[5,10,4,8,14,0,6,14,12,6,12,4,12,14,10,13,7,11,5,8,9,10,9,8,5,4,0,13,8,6,5,13,1,13,3,3,10,3,5,14,5,0,6,12,11,10,2,5,2,7,3,7,9,9,1,10,11,3,9,9,1,7,9,7,0,4,6,6,1,14,3,1,11,11,8,0,7,8,0,7,0,2,9,4,10,4,2,12,2,9,8,14,8,6,10,4,11,11,2,13,3,8,0,1,5,3,5,13,1,11,12,4,9,7,8,13,10,14,2,8,0,14,10,2,3,3,7,12,1,4,5,12,4,0,0,2,6,7,3,8,13,1,5,9,13,7,6,6,11,4,14,2,3,14,14,11,1,3,10,7,1,6,11,5,1,1,9,12,2,9,13,14,7,12,2,13,8,11,11,8,6,5,0,12,2,6,5,14,2,4,13,14,9,11,12,10,13,13,2,5,6,4,12,9,8,10,3,10,1,1,0,0,12,7,10,3,11,4,4,7,12,14,0,6,13]"
ta02,942,"[0,1,2,3,2,0,2,1,1,3,0,1,2,0,3]","[11,4,1,1,2,12,14,0,0,2,2,4,14,1,5,0,10,1,3,12,12,4,0,10,13,3,7,11,4,12,9,1,4,2,12,7,9,8,14,3,5,6,5,13,13,14,10,5,9,0,14,13,9,2,7,14,5,9,6,5,2,7,10,3,0,8,2,9,7,8,6,13,12,3,7,2,13,2,9,13,9,14,0,4,1,14,6,0,1,2,0,4,11,10,8,6,13,2,5,6,13,5,13,7,10,10,3,11,12,7,7,12,9,8,5,7,6,11,11,3,5,8,2,0,3,8,1,6,14,10,6,5,13,8,12,11,3,1,10,6,7,2,0,7,7,12,11,3,3,12,5,10,4,0,13,14,14,8,11,3,5,8,11,4,4,4,10,1,4,14,12,0,1,10,9,11,8,1,9,9,6,4,11,6,13,10,8,6,4,9,11,11,8,1,3,14,0,3,5,1,1,9,12,6,13,10,8,14,4,2,12,0,7,12,13,5,8,10,9,11,3,7,6,2,14]"
ta03,921,"[1,0,1,3,3,3,2,1,0,2,0,0,1,3,2]","[4,14,9,1,7,2,5,6,2,9,0,11,4,6,10,7,10,0,9,12,10,13,3,1,9,9,8,5,12,13,7,12,3,1,8,0,5,14,4,1,11,14,14,5,12,9,11,7,5,10,1,8,14,7,4,11,0,14,13,14,2,4,3,9,1,10,7,11,7,10,0,13,6,12,12,6,3,12,7,4,6,6,7,1,13,9,1,4,11,5,12,12,6,5,12,5,0,12,7,8,11,8,6,14,10,1,6,2,0,13,0,2,11,1,12,14,10,5,11,4,6,8,6,8,10,11,10,2,5,13,2,3,3,14,0,2,13,7,5,9,5,3,2,3,1,12,13,10,14,6,3,1,2,10,10,5,8,9,12,8,0,4,2,8,7,3,7,12,14,11,2,14,9,4,8,6,11,2,2,9,13,8,13,10,13,13,4,5,11,1,11,3,6,0,4,13,0,9,8,3,8,7,4,1,3,14,0,4,14,8,3,1,5,3,2,0,9,0,13,7,10,4,6,11,9]"
ta04,911,"[0,1,2,0,3,3,3,3,1,2,3,2,0,1,2]","[1,14,5,9,8,1,4,3,13,3,7,10,6,11,0,9,2,10,1,6,11,6,10,8,5,5,9,13,8,14,1,13,0,12,0,1,14,11,2,12,1,8,1,3,7,3,9,11,10,5,3,4,14,3,3,12,2,1,2,6,13,7,12,6,13,0,0,14,9,4,7,13,10,3,6,9,10,14,0,0,6,4,11,12,10,8,10,12,2,14,2,13,0,8,2,0,6,7,5,13,2,9,1,8,4,12,12,11,1,2,7,10,3,14,7,4,12,10,11,8,8,5,1,8,11,8,4,13,3,6,0,3,9,6,13,0,5,10,10,11,3,14,7,0,4,13,9,5,2,5,7,2,9,4,12,2,0,6,5,11,8,12,8,12,4,14,0,6,9,4,5,7,8,11,14,13,6,7,1,9,9,4,7,7,5,3,11,9,3,11,10,7,4,14,11,5,9,8,10,12,13,3,4,4,6,14,12,7,1,0,1,1,5,14,6,10,13,2,14,13,2,5,12,11,2]"
ta05,940,"[2,0,2,1,1,2,3,3,1,1,3,0,0,0,3]","[8,7,1,10,1,10,5,11,8,12,11,12,13,2,5,9,10,12,10,0,6,4,10,9,7,1,4,6,3,0,9,5,2,9,14,9,2,8,11,6,5,3,4,6,1,0,13,2,4,5,6,3,7,4,8,3,6,14,9,11,10,0,11,9,5,3,11,6,5,7,3,3,1,1,0,0,4,4,1,12,13,0,5,13,13,11,8,2,8,11,7,2,14,9,10,13,6,14,0,0,10,13,4,3,4,5,8,2,6,10,7,1,4,5,3,6,9,10,14,7,0,9,12,7,1,14,1,5,4,1,13,2,3,11,12,12,5,8,0,11,6,12,13,12,12,1,3,11,10,10,7,2,10,14,14,8,9,11,9,7,1,14,2,7,11,13,2,2,7,9,3,11,14,8,12,0,3,6,1,4,14,13,14,0,9,12,9,14,2,8,3,6,4,0,3,14,6,5,10,14,2,13,8,4,12,7,2,13,13,8,12,1,8,0,7,7,10,5,13,5,4,11,12,6,8]"
ta06,873,"[3,0,1,2,3,0,3,0,2,1,1,1,1,2,2]","[1,7,5,14,12,10,8,8,8,7,4,11,4,10,6,1,0,6,11,0,4,10,12,1,14,12,3,10,9,4,2,11,2,2,8,2,9,13,13,6,6,7,9,9,12,11,10,8,3,11,1,3,10,10,2,3,3,13,4,13,13,13,5,2,6,7,9,3,3,0,14,5,6,12,9,2,5,5,1,12,2,2,14,7,6,3,14,13,3,0,12,1,1,1,10,8,6,14,11,14,3,10,11,8,14,2,13,7,6,4,9,10,11,1,7,3,14,14,1,14,13,8,13,10,3,8,5,5,1,5,2,9,1,1,14,8,10,12,8,3,1,11,2,8,7,6,4,13,7,0,12,9,4,0,0,0,1,7,11,9,4,4,9,7,13,4,5,4,12,9,11,11,10,2,7,0,9,5,14,0,13,6,5,2,5,12,4,13,7,6,12,12,5,6,5,0,14,6,11,0,4,4,6,10,7,11,3,12,9,10,12,3,7,8,2,8,0,8,14,5,11,13,9,0,0]"
ta07,935,"[2,1,1,3,1,2,1,2,3,0,0,3,3,2,0]","[7,2,2,7,7,12,10,3,10,14,10,9,6,3,5,8,7,4,6,14,11,7,12,12,0,12,6,1,2,5,1,13,8,11,7,10,14,8,7,6,8,10,0,3,11,12,11,14,0,14,5,5,8,12,14,8,5,11,4,9,0,13,3,2,6,2,1,6,4,7,6,13,10,6,14,5,0,3,2,1,8,2,2,10,2,0,13,8,0,9,3,12,5,5,12,9,4,14,11,9,1,9,1,3,2,4,1,10,12,4,11,5,7,10,13,14,8,8,4,4,6,4,8,13,12,8,9,14,9,0,10,9,11,14,9,14,12,1,10,7,1,13,14,13,2,6,14,2,4,6,8,3,11,2,6,13,10,9,9,7,1,3,2,12,13,5,1,3,14,11,10,8,13,13,1,3,6,4,0,0,1,11,3,7,0,12,3,12,10,4,4,11,4,1,0,7,5,11,11,0,7,6,9,5,3,0,13,6,11,1,5,3,5,4,13,7,8,5,9,9,12,0,10,2,13]"
ta08,963,"[3,2,2,0,3,3,2,0,1,1,1,1,2,0,3]","[13,7,1,9,2,1,14,11,0,9,3,10,9,7,9,11,1,7,14,6,0,7,3,8,13,11,9,3,5,8,2,4,7,4,12,13,8,6,1,2,0,7,12,1,0,8,3,5,10,2,12,7,5,6,13,0,5,6,12,2,3,3,2,7,12,8,4,13,7,7,14,1,4,5,10,14,12,7,4,2,4,9,11,3,3,10,2,6,8,14,10,3,0,13,1,5,2,7,8,8,2,10,13,6,5,1,12,1,6,8,6,5,8,7,1,0,0,12,6,13,14,6,9,5,9,9,0,4,4,5,5,3,2,10,11,10,14,12,3,4,0,13,6,9,12,13,0,10,11,14,11,12,13,6,13,9,14,13,14,9,12,7,10,4,10,7,10,8,13,11,3,4,2,1,8,1,14,5,0,6,11,11,2,5,12,1,12,4,6,11,12,3,0,11,8,11,5,0,14,13,14,8,5,9,9,3,4,1,4,3,6,10,10,11,10,14,11,2,1,8,4,14,9,2,0]"
ta09,982,"[1,2,3,0,0,3,0,3,2,2,1,1,0,0,3]","[10,1,5,7,0,1,13,12,9,10,13,6,11,14,14,5,1,10,2,6,2,14,8,11,12,3,14,1,0,13,9,7,13,9,1,1,2,13,8,10,12,14,10,3,9,1,3,11,0,0,9,2,5,6,3,3,4,5,5,13,10,0,7,10,5,1,0,0,11,8,14,8,3,11,4,3,4,7,13,14,0,10,14,2,8,10,12,6,7,11,2,6,8,14,5,13,6,14,10,10,1,9,12,13,6,4,11,2,5,5,8,3,7,9,14,13,12,0,4,8,1,10,8,2,6,11,0,2,4,12,4,6,1,8,2,7,1,8,8,5,12,2,3,11,3,0,7,14,7,6,9,1,9,4,5,11,4,2,11,10,14,11,0,9,0,7,14,3,6,1,5,12,4,4,13,6,9,9,6,5,13,8,6,0,8,7,12,10,3,11,2,7,13,4,11,14,8,12,9,12,3,3,0,7,12,9,3,4,13,7,1,2,12,4,7,4,5,5,9,12,6,13,2,10,11]"
ta10,909,"[0,3,0,2,3,3,1,1,0,3,2,1,3,2,2]","[1,8,6,9,10,7,14,2,13,7,13,4,3,9,10,2,0,9,10,5,13,1,14,9,0,5,6,7,2,10,12,6,2,12,9,5,3,10,0,1,12,0,11,3,11,1,6,14,8,2,0,11,11,4,6,8,8,7,7,6,9,5,14,11,2,6,9,13,14,5,13,3,2,4,0,2,9,0,6,6,5,4,14,1,11,7,14,7,11,11,12,4,8,5,13,0,13,12,12,6,14,3,10,1,7,4,9,5,7,12,13,11,6,8,12,4,2,9,8,5,3,1,10,1,2,2,12,4,1,1,8,13,0,10,13,2,13,8,8,10,1,0,3,7,6,1,1,6,12,2,6,9,13,11,12,3,8,8,3,10,4,12,3,5,13,12,8,3,11,1,8,10,9,1,4,14,12,10,0,0,4,7,5,11,10,11,8,11,2,3,10,11,6,4,4,7,5,14,5,12,10,0,14,5,14,0,5,14,7,14,9,3,13,2,3,3,7,4,4,7,14,0,9,9,13]"
