instance,makespan,FA,OS
ta01,963,"[0,1,1,2,3,3,1,2,0,3,0,1,0,1,2]","[5,11,11,1,0,2,5,4,14,8,5,8,2,8,13,0,13,3,3,13,8,11,2,4,4,4,14,1,0,8,12,12,12,3,7,5,3,5,5,11,7,1,3,12,11,10,0,11,6,1,11,6,8,7,0,5,8,11,0,9,9,8,10,0,6,6,12,4,10,7,5,7,3,14,6,14,5,10,8,2,13,5,10,14,6,1,10,2,3,12,3,4,9,0,9,3,13,7,4,14,1,4,0,3,2,3,3,6,4,6,10,1,7,6,11,14,1,8,13,12,12,5,11,3,0,9,13,13,14,5,13,1,10,4,1,1,10,7,3,2,5,14,13,12,10,9,13,4,11,13,7,11,6,14,6,14,4,6,2,2,0,8,10,8,4,0,0,7,7,3,9,12,11,14,2,12,10,1,8,2,12,9,2,5,14,8,14,7,4,2,7,9,1,11,12,1,11,2,7,2,6,14,9,10,6,13,0,5,1,9,7,6,12,13,12,8,9,9,0,10,13,4,10,9,9]"
ta02,942,"[0,3,1,2,2,0,2,0,1,3,3,3,0,1,3]","[14,4,6,0,9,4,6,13,10,11,8,2,3,12,4,3,6,2,2,12,0,5,12,3,13,13,0,13,9,7,6,3,14,0,9,13,10,3,11,7,13,9,13,2,5,9,8,3,14,7,1,6,5,11,1,6,7,14,10,5,13,9,7,12,7,14,2,7,6,14,4,9,0,4,3,4,9,1,5,4,0,0,10,4,14,0,13,8,1,5,14,5,9,7,11,8,8,9,8,2,12,10,2,9,0,11,7,11,11,1,13,8,6,8,5,11,2,6,2,6,13,1,12,2,12,0,7,0,11,4,10,1,3,3,12,11,4,1,6,10,12,6,8,5,7,1,2,9,7,3,14,2,5,12,8,3,5,10,8,11,2,8,10,4,5,4,0,7,2,6,9,1,3,1,10,8,9,10,10,14,1,14,14,5,10,11,8,14,3,6,2,4,0,4,10,11,11,5,1,12,5,7,12,1,11,13,13,10,7,14,3,12,13,9,8,1,6,3,12,13,12,4,14,0,0]"
ta03,921,"[0,0,0,0,3,3,2,0,1,1,2,2,1,3,2]","[14,1,10,13,8,5,11,0,8,13,6,9,7,10,9,7,12,4,12,3,11,14,14,14,3,6,14,14,6,5,11,9,14,6,13,10,4,8,2,4,11,7,7,13,2,13,4,6,4,9,0,10,2,2,7,14,5,5,8,0,12,1,6,12,1,0,2,5,11,2,14,12,5,3,0,12,4,3,11,10,14,1,4,0,1,5,6,3,8,6,6,13,1,3,0,5,8,10,1,8,1,9,10,6,11,12,5,11,0,14,3,2,6,10,1,6,4,2,3,7,10,13,12,14,0,4,3,3,7,4,10,7,2,10,1,11,0,4,13,7,4,12,1,11,8,3,13,12,3,9,5,11,14,5,9,12,0,3,9,4,11,10,4,9,11,1,9,6,2,1,10,2,5,0,8,8,2,6,0,1,13,13,13,8,7,6,4,13,12,7,13,2,9,3,14,11,2,8,7,5,1,9,12,14,7,9,13,11,7,9,12,9,12,7,8,5,3,0,8,0,10,10,5,2,8]"
ta04,911,"[1,3,2,1,0,2,0,0,3,0,2,2,1,3,0]","[2,7,5,14,8,14,1,6,10,9,3,3,4,1,9,5,9,9,6,6,7,12,2,11,3,4,3,2,6,13,7,7,12,13,11,12,10,1,11,2,0,6,0,4,1,2,7,4,0,1,2,14,11,9,5,7,14,3,13,7,11,10,14,13,14,8,9,12,3,6,10,9,4,13,10,8,11,3,8,0,0,4,6,12,9,0,12,5,9,14,8,8,7,6,4,0,12,7,5,6,8,1,4,14,6,8,8,7,10,3,10,10,11,6,5,2,11,4,10,5,10,7,0,14,11,3,12,4,11,10,8,2,2,13,2,0,14,13,9,10,7,0,7,4,0,13,1,9,5,5,6,14,3,11,9,1,5,0,5,12,7,8,13,1,2,14,13,4,11,1,0,2,5,12,14,6,10,13,5,13,8,9,4,1,3,3,10,13,6,8,1,1,9,11,12,6,4,7,5,13,2,8,2,12,3,0,12,12,5,4,11,3,14,2,10,13,12,1,1,14,3,0,9,11,8]"
ta05,940,"[1,2,0,3,1,1,0,3,0,1,0,3,2,0,0]","[5,8,11,14,4,3,7,3,1,14,4,2,8,10,6,8,12,8,12,14,6,0,1,7,4,4,9,2,9,9,7,3,6,14,7,12,0,14,10,8,3,2,5,8,3,2,1,6,0,6,2,0,3,1,1,7,12,11,13,13,1,10,8,6,6,3,13,4,12,7,0,1,10,13,2,13,2,13,8,3,10,7,8,12,0,11,2,0,9,3,5,14,11,11,9,1,1,14,11,4,2,6,8,9,6,4,4,12,13,7,5,12,0,13,2,12,4,5,0,14,3,1,9,3,13,13,4,7,9,14,3,3,3,11,8,2,14,0,7,12,5,5,8,11,10,7,13,9,11,0,6,0,1,4,4,11,0,2,1,12,12,7,9,5,0,11,10,10,6,5,14,9,4,10,11,6,12,7,1,8,13,10,1,11,14,13,7,4,2,9,10,7,5,0,9,10,9,4,5,14,8,2,3,9,10,13,12,10,5,14,10,8,5,5,6,14,6,11,5,11,2,12,1,13,6]"
ta06,901,"[2,1,2,3,0,3,2,1,2,1,1,3,3,0,0]","[11,7,11,9,14,12,10,8,12,5,6,11,0,13,12,2,13,3,4,10,1,12,7,10,12,8,1,5,11,5,4,1,5,0,5,3,2,14,14,1,12,6,8,11,9,1,3,0,3,9,8,11,14,7,2,0,2,7,13,4,10,5,13,11,14,0,1,12,9,12,12,0,12,4,8,11,10,12,6,5,10,14,10,1,13,10,7,13,5,6,11,12,1,7,6,8,13,6,3,2,7,5,4,10,6,6,13,2,6,4,4,7,10,3,13,2,14,2,6,7,12,0,9,6,2,2,9,6,14,2,1,0,11,0,2,10,11,10,13,0,8,7,14,13,9,10,8,7,7,8,6,13,3,0,4,4,1,3,5,13,1,1,11,1,14,14,6,8,8,9,14,0,5,7,5,4,9,9,0,14,4,5,4,5,10,14,3,13,3,13,3,2,7,2,1,9,11,3,9,3,10,4,12,0,3,6,9,4,3,7,9,8,8,1,11,14,0,5,11,8,8,2,9,4,12]"
ta07,935,"[3,0,0,2,3,2,1,3,3,1,2,3,1,2,1]","[4,9,1,5,5,2,12,0,4,11,7,2,0,5,7,8,7,1,11,5,10,6,9,2,8,2,10,12,0,6,7,3,12,11,3,7,6,8,0,9,4,6,3,11,5,8,10,10,8,11,4,11,6,12,1,4,4,5,10,14,11,3,10,8,13,12,5,9,12,6,3,13,14,12,9,14,13,3,14,0,5,6,7,7,6,8,8,1,2,14,11,0,5,12,12,4,11,2,14,9,10,13,7,9,11,12,3,7,2,13,13,5,4,13,11,10,9,13,4,2,3,6,13,14,14,0,6,1,0,0,10,10,7,5,14,7,4,1,8,3,12,0,11,2,13,11,4,3,1,10,6,11,8,3,1,12,14,13,6,3,3,0,14,7,8,9,4,0,14,7,8,0,4,9,2,10,10,13,11,2,14,14,13,9,6,2,8,1,13,4,14,12,10,3,1,5,10,9,1,1,2,9,9,5,6,8,1,13,5,2,6,1,12,0,7,0,1,9,12,8,2,3,4,7,5]"
ta08,963,"[0,1,1,3,3,0,0,2,0,2,3,2,3,3,2]","[10,4,13,11,3,8,2,2,6,6,4,14,2,0,5,5,3,3,0,7,8,0,12,3,0,13,6,0,12,0,10,13,11,6,5,9,1,1,6,9,2,11,3,8,3,11,10,8,9,7,13,4,13,9,7,1,0,6,11,1,14,5,4,11,4,8,1,11,14,2,14,12,8,5,10,12,7,4,11,4,1,5,7,14,11,4,6,5,0,12,5,14,14,4,9,9,12,7,5,11,10,14,8,1,4,5,1,0,10,13,4,8,10,2,0,2,8,13,12,14,6,7,12,4,10,6,7,1,5,6,4,2,4,2,9,12,2,7,1,9,8,3,9,6,1,0,14,12,8,9,10,9,1,3,12,12,7,14,10,11,6,11,13,5,10,3,14,3,5,2,14,3,4,8,0,13,1,13,0,13,11,8,2,10,2,5,9,1,3,7,12,9,13,14,7,6,6,6,0,7,3,8,3,13,10,7,11,10,2,9,2,5,8,9,13,12,1,3,13,10,11,7,14,12,0]"
ta09,982,"[0,1,2,1,0,3,3,0,0,3,2,1,1,0,3]","[3,7,9,14,10,12,0,0,7,8,10,10,9,14,14,8,1,6,1,13,11,1,6,0,13,3,7,8,5,2,11,10,4,1,8,0,12,13,0,0,11,10,1,4,8,5,2,12,8,9,11,1,7,6,4,9,5,10,3,14,6,3,4,9,7,4,1,7,0,3,10,11,2,14,11,2,13,2,9,3,2,14,8,9,0,10,1,12,0,12,11,1,12,13,2,9,11,12,7,13,9,5,9,4,0,3,12,0,6,3,6,2,4,10,6,8,1,14,9,4,11,8,3,10,12,10,12,11,14,5,13,2,5,1,13,8,5,12,9,6,13,7,13,14,5,4,6,14,5,10,5,13,4,3,11,5,2,8,12,7,13,3,0,4,10,7,14,6,3,11,5,8,7,9,8,0,5,4,14,7,1,3,4,2,3,6,7,5,1,13,13,11,6,9,2,3,14,14,1,6,2,0,12,1,14,8,4,12,6,7,6,12,11,2,0,11,8,5,10,7,9,13,2,4,10]"
ta10,909,"[1,0,1,2,0,2,3,2,1,1,1,2,0,0,3]","[0,8,5,12,14,7,8,5,6,3,10,12,5,9,4,9,5,4,4,6,9,11,0,5,2,10,5,4,11,1,13,7,8,3,2,10,12,11,2,10,14,5,4,7,10,9,13,9,10,9,5,3,3,14,8,7,8,0,10,1,14,1,12,10,13,11,4,12,13,4,0,2,2,5,0,6,6,7,3,11,3,3,0,11,8,12,12,10,5,8,2,14,0,6,11,12,0,11,5,9,1,0,7,7,1,13,13,11,13,6,0,9,10,5,11,0,9,10,6,13,2,13,4,2,7,1,7,3,10,6,13,1,13,11,1,13,4,13,6,2,3,14,10,5,10,9,0,14,1,11,6,5,5,11,8,13,6,4,1,7,12,8,8,12,6,12,1,12,0,9,12,14,8,4,7,4,14,4,14,2,1,11,8,0,6,12,2,1,4,2,2,8,8,3,14,14,10,4,14,9,6,6,7,7,7,12,3,2,14,11,3,13,9,7,0,1,14,8,3,9,3,3,1,2,9]"
